#{"t_start": 1772087579.0889084, "env_id": "ALE/Pacman-v5"}
r,l,t
40.0,802,13423.320304
39.0,1526,13457.960553
37.0,758,13475.201026
33.0,696,13491.067137
37.0,722,13507.578794
58.0,772,13525.196318
56.0,680,13540.652584
30.0,718,13557.008446
38.0,640,13571.516258
44.0,646,13586.227623
47.0,924,13607.225649
35.0,948,13628.90348
32.0,796,13647.03995
49.0,772,13664.602928
28.0,740,13681.444634
43.0,714,13697.63976
35.0,720,13714.074758
37.0,716,13730.289194
40.0,782,13748.154086
48.0,792,13766.141873
43.0,650,13780.897957
65.0,674,13796.194397
35.0,716,13812.491149
37.0,704,13828.429001
23.0,470,13839.195138
34.0,606,13853.038548
28.0,458,13863.436579
51.0,776,13881.160922
37.0,786,13899.054425
40.0,666,13914.196761
36.0,682,13929.788075
56.0,760,13947.054492
46.0,666,13962.196065
36.0,608,13976.023285
54.0,782,13993.89723
46.0,562,14006.630352
47.0,672,14021.867675
77.0,770,14039.33741
56.0,692,14055.079021
45.0,542,14067.398579
47.0,684,14082.961393
46.0,748,14099.85697
46.0,600,14113.428672
56.0,20236,14573.701709
29.0,562,14586.475763
17.0,354,14594.538579
17.0,448,14604.679229
13.0,408,14613.945956
28.0,472,14624.600902
28.0,414,14634.006724
48.0,608,14647.899131
21.0,450,14658.160379
49.0,1512,14692.571289
35.0,574,14705.600255
186.0,728,14722.133256
45.0,720,14738.553959
29.0,676,14753.881718
16.0,422,14763.493583
25.0,452,14773.89706
45.0,698,14789.728065
37.0,606,14803.508509
43.0,544,14815.850826
41.0,660,14830.919588
51.0,538,14843.178308
56.0,674,14858.53395
34.0,528,14870.554268
30.0,484,14881.460559
246.0,716,14897.740447
19.0,386,14906.459515
43.0,584,14919.679333
179.0,646,14934.413274
348.0,874,14954.196286
22.0,444,14964.341067
77.0,664,14979.413327
43.0,521,14991.320642
31.0,604,15005.057557
45.0,600,15018.726001
347.0,564,15031.525344
29.0,624,15045.657751
179.0,878,15065.595388
37.0,662,15080.688997
23.0,510,15092.273682
191.0,750,15109.251386
45.0,642,15123.91441
66.0,4042,15215.694327
344.0,640,15230.147692
40.0,696,15245.95723
49.0,774,15263.523029
56.0,620,15277.631495
46.0,636,15292.022776
70.0,799,15310.131527
197.0,918,15330.882459
63.0,728,15347.398376
105.0,586,15360.742662
52.0,938,15381.961836
50.0,796,15400.106945
24.0,486,15411.168961
22.0,480,15422.21177
27.0,472,15432.953868
356.0,962,15454.866509
24.0,480,15465.832618
39.0,606,15479.570164
51.0,644,15494.257684
105.0,720,15510.601363
20.0,376,15519.241038
57.0,690,15534.897923
13.0,412,15544.362707
47.0,652,15559.193804
45.0,664,15574.298551
26.0,484,15585.292566
37.0,552,15597.819058
25.0,500,15609.288925
23.0,430,15619.068835
34.0,552,15631.550966
63.0,606,15645.352515
57.0,654,15660.274065
78.0,782,15678.1603
57.0,686,15693.75077
107.0,724,15710.215675
67.0,764,15727.586235
48.0,638,15742.107818
25.0,462,15752.628173
26.0,504,15764.05444
73.0,759,15781.368086
39.0,600,15795.022915
47.0,758,15812.320189
26.0,642,15826.881785
41.0,762,15844.209959
81.0,722,15860.630598
70.0,748,15877.600102
44.0,724,15894.099621
93.0,566,15907.007687
54.0,692,15922.850707
108.0,786,15940.679958
118.0,828,15959.538152
192.0,946,15981.072582
104.0,626,15995.231361
115.0,896,16015.552185
329.0,650,16030.319974
21.0,470,16041.039743
92.0,620,16055.131531
214.0,858,16074.617278
185.0,690,16090.296363
40.0,642,16104.883776
329.0,684,16120.462053
61.0,684,16136.038604
189.0,734,16152.791012
65.0,592,16166.240876
66.0,668,16181.42928
48.0,680,16196.851175
341.0,736,16213.555025
102.0,734,16230.2256
338.0,722,16246.582904
18.0,474,16257.256867
32.0,550,16269.835183
182.0,668,16284.97595
21.0,426,16294.663685
61.0,596,16308.241534
210.0,906,16328.912853
182.0,806,16347.211877
346.0,998,16369.93682
101.0,650,16384.711491
146.0,828,16403.599979
31.0,494,16414.849002
175.0,696,16430.726117
194.0,704,16446.6942
79.0,792,16464.790675
211.0,876,16484.710409
331.0,604,16498.461831
329.0,698,16514.314616
41.0,620,16528.509436
103.0,691,16544.180516
54.0,724,16560.772668
99.0,616,16574.788568
174.0,778,16592.576735
105.0,682,16608.082727
107.0,642,16622.682819
340.0,774,16640.257238
57.0,694,16656.007626
167.0,722,16672.366598
341.0,724,16688.88222
405.0,916,16709.72321
339.0,764,16727.117574
99.0,606,16740.882183
55.0,548,16753.320712
176.0,774,16770.914172
104.0,668,16786.123853
335.0,694,16801.983972
98.0,732,16818.584351
180.0,660,16833.632926
